name,price,OCrate,neighbor,property_type,bed,bath
 2 floor Luxury Loft in the best location! ,$441/night, 71%  ,Gramercy ,Serviced apartment,3,2
 Great apartment (midtown area ) ,$115/night, 72%  ,Midtown ,Apartment,1,1
 Sunny Brownstone  Attic ,$81/night, 54%  ,Bushwick ,Townhouse,3,1
 Studio near to TIME SQUARE ,$116/night, 54%  ,Midtown ,Apartment,1,1
 HELLO HARLEM ,$288/night, 48%  ,Manhattanville ,Apartment,2,2
 Private UES STUDIO - fully furnished ,$103/night, 85%  ,Sutton Place ,Apartment,1,1
 Tribeca/Soho Garden Apartment ,$386/night, 79%  ,NoHo ,Apartment,1,1
" HISTORIC WILLIAMSBURG, BKLYN ",$138/night, 45%  ,Greenpoint ,Apartment,3,1
 WINTER SALE!!! Stylish & Inviting Brownstone Apt!! ,$165/night, 67%  ,Manhattanville ,Apartment,N/A,1
 Close to zoo and Botanical Gardens ,$89/night, 49%  ,Van Nest ,Apartment,1,1
 Artist Apartment with Tons of Space ,$58/night, 68%  ,Woodlawn ,Apartment,2,1
 Spacious and Relaxing Garden Apartment ,$280/night, 48%  ,Red Hook ,Apartment,2,1
 Huge Sunny Loft w Patio + Charm ,$168/night, 100%  ,Clinton Hill ,Loft,1,1
 3 bedroom duplex next to Central Pk ,$270/night, 50%  ,Carnegie Hill ,Apartment,4,1.5
 Entire 2 Bedroom in a smart new house ,$122/night, 64%  ,Middle Village ,House,2,1.5
 one bedroom apt in a new house ,$113/night, 51%  ,Middle Village ,House,1,1.5
 Beautiful 1 bedroom apt. ,$68/night, 98%  ,Marble Hill ,Apartment,N/A,1
 Beautiful garden studio in Bushwick ,$86/night, 94%  ,Bushwick ,Apartment,1,1
 Parlor apt 1 block from Times Sq ,$186/night, 72%  ,Tudor City ,Apartment,1,1
" Luxury Apt, Near Subway, Perfect for Work or Play! ",$137/night, 30%  ,Bedford Stuyvesant ,Apartment,2,1
 Central Park Quiet 1BR ,$200/night, 100%  ,Carnegie Hill ,Apartment,1,1
 Beautiful designer studio on 1st ,$180/night, 52%  ,Park Slope ,House,2,1
" Our home away from home 
“Cosy studio” ",$141/night, 83%  ,NoHo ,Apartment,N/A,1
 Charming 1BDR apt near Central Park ,$132/night, 47%  ,Harlem ,Apartment,N/A,1
 Greenpoint 2BR in Townhouse w/Parking ,$211/night, 89%  ,Blissville ,Townhouse,3,1
 One Bedroom Townhouse Apartment ,$120/night, 77%  ,Port Morris ,Apartment,2,1
 Spacious Modern & Comfy 2BR in BK Brownstone ,$217/night, 77%  ,Park Slope ,Apartment,2,1
 Charming Spacious Park Slope Studio ,$134/night, 75%  ,Park Slope ,Apartment,2,1
 Perfect Studio in the Perfect Location on the UES ,$150/night, 100%  ,Carnegie Hill ,Apartment,1,1
 Chic Modern Luxury Apartment. 2 bed 2 bath.  Patio ,$208/night, 55%  ,Bedford Stuyvesant ,Apartment,2,2
 Studio Near Time Square ,$104/night, 74%  ,Midtown ,Apartment,1,1
 Beautiful Upper East Side Apartment ,$165/night, 87%  ,Carnegie Hill ,Apartment,2,1
 Private Brownstone ,$110/night, 56%  ,Carnegie Hill ,Townhouse,2,1
 One Bedroom Beauty in Bushwick ,$76/night, 94%  ,Bushwick ,Apartment,1,1
 Private Studio: Landmark Dt (Smart TV/Wifi/Cable) ,$101/night, 61%  ,Flatbush ,Guest suite,1,1
 Cute Apartment in Hell's Kitchen ,$200/night, 66%  ,Clinton ,Apartment,2,1
 Tree lined block modern apartment ,$136/night, 100%  ,Clinton Hill ,Apartment,1,1
 Best of SOHO Gorgeous 2 bedroom ,$260/night, 81%  ,NoHo ,Condominium,2,1
" Bright, Spacious Alcove 1 Bedroom ",$201/night, 97%  ,Greenwich Village ,Apartment,1,1
 Clinton Hill - Garden Apt ,$123/night, 44%  ,Park Slope ,Apartment,1,1
 COZY Brooklyn Apartment 20 minutes to City ,$87/night, 85%  ,Bushwick ,Apartment,1,1
" Light, Large Apt Near Central Park ",$156/night, 89%  ,Carnegie Hill ,Apartment,3,1
 Newly renovated luxury apartment ,$160/night, 84%  ,Bushwick ,Apartment,3,1
 NICE STUDIO NEAR TIME SQUARE ,$90/night, 58%  ,Midtown ,Apartment,1,1
" New, Lux Doorman,U.N. Grand Central ",$150/night, 59%  ,Midtown ,Apartment,N/A,1
 Heart of Soho - One Bedroom Apartment - NYC ,$176/night, 64%  ,NoHo ,Apartment,1,1
 3 bedroom in the heart of Manhattan ,$369/night, 74%  ,Midtown ,Apartment,3,1
 Cozy Carroll Gardens Brownstone Apt ,$151/night, 84%  ,Park Slope ,Apartment,1,1
 Sunny Clinton Hill Apt w/Patio ,$105/night, 97%  ,Park Slope ,Apartment,2,1
 Comfort Home ,$162/night, 72%  ,Arverne ,Apartment,2,1
 Gorgeous Sunny Quiet Manhattan 1BD for long sublet ,$125/night, 18%  ,Washington Heights ,Apartment,1,1
 Sweet Historic Greenpoint Duplex ,$172/night, 52%  ,Blissville ,House,2,1
 2BR Sunny Apt - 15 min from MIDTOWN ,$161/night, N/A%  ,Maspeth ,Apartment,5,1
 Large luxury 1 bedroom loft in Gramercy ,$165/night, 73%  ,NoHo ,Apartment,2,1
 Private space in my home ,$86/night, 16%  ,Arrochar ,Townhouse,2,1
 Riverside Charm with Fire Place ,$120/night, 90%  ,Upper West Side ,Apartment,1,1
 FT Greene Flat Private Entrance ,$185/night, 39%  ,Park Slope ,House,1,1
 This quaint 2 bedroom apart in NYC ,$99/night, 25%  ,Brownsville ,Apartment,2,1
 Cozy 1 bedroom bricked wall loft ,$145/night, 49%  ,Carnegie Hill ,Apartment,2,1
 Garden Apartment w/Backyard in Brooklyn Townhouse ,$115/night, 32%  ,Governors Island ,Apartment,1,1
 Enjoy One of a Kind Spectacular NYC Views ,$245/night, 73%  ,Battery Park ,Apartment,1,1
 Renovated 1 bdrm apt close to city ,$136/night, 16%  ,Wingate ,Townhouse,1,1
 Luxury 1 bdrm Apt in Clinton Hills. ,$127/night, 60%  ,Park Slope ,Apartment,1,1
 Artist Garden Duplex Ft. Greene - 2.5 Bedroom ,$254/night, 80%  ,Clinton Hill ,Townhouse,3,2
 Beautiful Large 2 Bedroom Apartment ,$148/night, 55%  ,La Guardia Airport ,House,2,1
 Romantic Williamsburg Apartment ,$186/night, 70%  ,Navy Yard ,Apartment,1,1
 Lofty studio ,$173/night, 71%  ,Carnegie Hill ,Apartment,1,1
 Bronx Home - 30 mins from Midtown! ,$109/night, 74%  ,East Tremont ,Apartment,2,1
" Harlem, NY 
Historical Sugar Hill Neighborhood ",$175/night, 17%  ,Hamilton Heights ,Apartment,1,1
 Lovely 1-bedroom-apartment in the heart of Astoria ,$125/night, 77%  ,Woodside ,Apartment,1,1
 Private Entrance - January & February Discount ,$98/night, 68%  ,Clinton Hill ,Townhouse,2,1
 Modern and comfortable is this 2 bedrooms ,$192/night, 2%  ,Canarsie ,Apartment,2,1
 Spacious 2 bedroom VanCourtland Pk ,$85/night, 67%  ,Woodlawn ,Apartment,4,1
 January Discounted Prices! Sugar Hill 2 Bdrm Apt. ,$248/night, 57%  ,Harlem ,Apartment,3,1
 All to yourself home away from home ,$85/night, 75%  ,Hollis ,House,4,1.5
 Spacious 2 bed room ,$200/night, 6%  ,Brownsville ,Apartment,2,1
 3 bedrm beauty in Crown Heights ,$141/night, 76%  ,Wingate ,Apartment,3,1
 5-STAR True 1 Bedroom Prime Location. Quiet! ,$176/night, 76%  ,Carnegie Hill ,Apartment,1,1
 Midtown Manhattan East Large Studio Apatment ,$130/night, 96%  ,Hunters Point ,Apartment,1,1
 Group-Student-Friendly Bklyn House ,$186/night, 32%  ,East Flatbush ,House,18,4
" Bright modern apt in a ""tudor"" home ",$125/night, 64%  ,Rego Park ,House,2,1
 Great Bushwick Studio Apartment ,$121/night, 21%  ,Ridgewood ,Apartment,1,1
 Cozy Renovated 2br Apartment! Close to Manhattan! ,$92/night, 100%  ,Flatbush ,Apartment,2,1
 Sunny 1 or 2 BR apt in Boerum Hill ,$208/night, 79%  ,Park Slope ,Apartment,1,1
 2BD Room Brooklyn Home Share ,$154/night, 61%  ,Red Hook ,Apartment,2,1
 Luxurious  one bedroom apartment in a quiet area. ,$95/night, 77%  ,Co-op City ,Apartment,1,1
 Brownstone Flat on Tree-Lined Block ,$112/night, 91%  ,Wingate ,Apartment,2,1
 The Bushwick 3BR 2BA 20 mins to NYC ,$161/night, 86%  ,Bushwick ,Apartment,5,2
 Huge 3 bedroom apt in West Harlem ,$313/night, 78%  ,Harlem ,Apartment,3,1
 Lovely 1.5BR Near Park and Subway ,$141/night, 71%  ,Park Slope ,Apartment,3,1
 MANHATTAN Studio 10 SECONDS Walk to Subway ,$93/night, 88%  ,Carnegie Hill ,Apartment,5,1
 Huge 3 bdrm in Ditmas Park/Flatbush ,$240/night, 45%  ,Flatbush ,Apartment,3,1.5
 Sunny East Village 1 Bedroom ,$199/night, 82%  ,East Village ,Apartment,1,1
 Central Nomad/Chelsea Loft Studio - metro dnstairs ,$145/night, 58%  ,Tudor City ,Loft,2,1
" Private, Comfy N. HARLEM Apt. 30+days required ",$171/night, 65%  ,Manhattanville ,Apartment,3,1
" NYC-Legal 2br +parking,  Metro-  4min, JFK -15min ",$174/night, 32%  ,East New York ,Apartment,2,1
" **Newly Furnished,Large ,steps to Lincoln Center** ",$145/night, 65%  ,Turtle Bay ,Apartment,1,1
" Home, Sweet, Harlem. Welcome! ",$98/night, 18%  ,East Harlem ,Apartment,1,1
 Massive 3 bedroom with Patio ,$436/night, 73%  ,NoHo ,Apartment,4,2
 Garden Apartment in Carroll Gardens ,$178/night, 77%  ,Park Slope ,Apartment,1,1
 Upscale Sun-Soaked Luxury apartment in Brooklyn ,$143/night, 99%  ,Clinton Hill ,Apartment,1,1
 Beautiful 1BR apartment in the heart of Harlem ,$152/night, 44%  ,Manhattanville ,Apartment,3,1
 Modern Studio in Brooklyn ,$87/night, 64%  ,Brighton Beach ,Apartment,1,1
" Modern Garden 2BD w/ Backyard, Dishwasher, Laundry ",$171/night, 78%  ,Clinton Hill ,Apartment,3,1
 A beautiful Cozy 1 BR Apartment. ,$91/night, 52%  ,Woodlawn ,Apartment,2,1
 Privacy meets luxury and comfort ,$98/night, 69%  ,Bushwick ,Townhouse,2,1
 Doorman Studio Gym Rooftop 5170 ,$130/night, 87%  ,Carnegie Hill ,Apartment,2,1
 Luxury Apt in the Heart of Brooklyn ,$172/night, 100%  ,Park Slope ,Apartment,1,1
 A SUPERB One Bedroom Apartment ,$86/night, 80%  ,Pelham Gardens ,Apartment,1,1
 Sunny apartment downtown Manhattan ,$228/night, 65%  ,DUMBO ,Apartment,3,1
" Charming Brownstone Two-Bedroom, Fort Greene ",$170/night, 79%  ,Park Slope ,Apartment,2,1
 Top Floor Apartment with Roof Access. ,$127/night, 75%  ,Tudor City ,Apartment,1,1
 Beautiful new one bedroom apartment ,$94/night, 77%  ,Bushwick ,Apartment,2,1
 Charming 1BR in UES Townhouse ,$148/night, 63%  ,Sutton Place ,Apartment,2,1
 CHARMING 1 BEDROOM IN PERFECT LOC! ,$108/night, 58%  ,East Village ,Apartment,2,1
 Cute Cozy 1 bdrm in Carroll Garden! ,$189/night, 52%  ,Park Slope ,Apartment,1,1
 Midtown Manhattan Hideaway ,$162/night, 99%  ,Clinton ,Apartment,1,1
 Suite1442 ,$150/night, 32%  ,Bedford Stuyvesant ,Apartment,5,1
 NYC Private Apt by Subway and Yankee Stadium ,$88/night, 80%  ,Concourse ,Townhouse,3,1
 Nolita/SoHo Penthouse ,$178/night, 90%  ,NoHo ,Apartment,2,1
 Mins to SOHO-Good sized 2 Bdrms w/ real comfy beds ,$201/night, 74%  ,Lower East Side ,Apartment,4,1
 Amazing Two-Floor Artist Loft! ,$146/night, 49%  ,Navy Yard ,Apartment,1,1
 UES Quiet & Spacious 1 bdrm for 4 ,$225/night, 83%  ,Carnegie Hill ,Apartment,2,1
 Authentic Artist's Loft - Prime Northside W'burg!! ,$142/night, 92%  ,Blissville ,Loft,2,1
 1 bedroom Apt 1 minute from the subway! ,$137/night, 82%  ,Lower East Side ,Apartment,2,1
" Cozy and Simple Studio, UES NYC ",$133/night, 94%  ,Carnegie Hill ,Apartment,2,1
 West Harlem Clean Park 1 Bedroom ,$110/night, 74%  ,Hamilton Heights ,Apartment,1,1
 It's all about Bushwick BROOKLYN ,$102/night, 82%  ,Bushwick ,Apartment,2,1
 Amazing Upper West Side Loft-Studio ,$79/night, 49%  ,Carnegie Hill ,Loft,1,1
 Lovely Brownstone close to subway ,$195/night, 43%  ,Clinton Hill ,Apartment,1,1
" Cute, cozy, hip Williamsburg nest ",$91/night, 82%  ,Navy Yard ,Apartment,N/A,1
 Charming Studio in Great Location ,$97/night, 88%  ,Red Hook ,Apartment,1,1
 Private Garden Apt. with outdoor space in Red Hook ,$220/night, 33%  ,Governors Island ,Apartment,2,1
 Gated Manhattan Enclave ,$93/night, 78%  ,Port Morris ,Apartment,1,1
 Cozy Garden  Apartment ,$89/night, 82%  ,Flatbush ,Apartment,2,1
 Bagels & Pizza 3 Bedroom Artist Loft ,$469/night, 24%  ,Bay Ridge ,Apartment,12,1
 Charming 1 Bedroom Brooklyn Apt ,$91/night, 72%  ,Bushwick ,House,2,1
 Manhattan Apartment + Extra Travel Bonus ,$174/night, 59%  ,Harlem ,Apartment,3,1
 Plum Guide Award-Winning Prospect Heights Oasis ,$203/night, 65%  ,Park Slope ,Apartment,2,1
 Love Where You Live! 3BR Garden Apartment Duplex ,$218/night, 70%  ,Blissville ,Apartment,3,1
 NEWLY RENOVATED APT IN LITTLE ITALY ,$142/night, 78%  ,Chinatown ,Apartment,2,1
 Big and Well Appointed NYC 1 Bdrm ,$168/night, 77%  ,Sutton Place ,Apartment,2,1
 Large Park Slope Townhouse Duplex ,$297/night, 32%  ,Prospect Heights ,House,3,2
 Private Garden Apartment ,$173/night, 88%  ,Red Hook ,Apartment,1,1
 Spacious Flat in HeArt of Bushwick! ,$146/night, 28%  ,Ridgewood ,House,2,1
 Lovely & Cozy Apartment in Queens! ,$125/night, 55%  ,Maspeth ,Apartment,3,1
 2 Bedroom SoHo Apartment (Bowery) ,$327/night, 60%  ,NoHo ,Apartment,3,1
 Spacious park block garden studio ,$140/night, 90%  ,Carnegie Hill ,Apartment,1,1
 Huge 1bd Doorman GYM Roof 5224 ,$180/night, 54%  ,Midtown ,Apartment,2,1
 Modern 1-bdrm apt near Manhattan and Central Park ,$108/night, 69%  ,Woodside ,Apartment,1,1
 Everything you need in NYC! 3BR ,$122/night, 64%  ,Brownsville ,Apartment,3,1
 Stylish Arty Brooklyn Appartment #4 ,$178/night, 80%  ,Park Slope ,Apartment,1,1
" Family friendly, amazing garden in Cobble hill ",$287/night, 53%  ,Park Slope ,Apartment,2,1
 5 STARS***MIDTOWN EAST-BRAND NEW!!! ,$120/night, 100%  ,Sutton Place ,Apartment,1,1
 Designed By Stark!Basket Ball Gym 5150 ,$167/night, 58%  ,DUMBO ,Apartment,1,1
 Family-friendly 2 bed apt.near Manhattan ,$112/night, 75%  ,Ozone Park ,Apartment,2,1
 Beautiful Spacious Loft near subway and train ,$152/night, 46%  ,Marble Hill ,Loft,2,1
 Gorgeous family friendly 3BR by Columbia campus ,$389/night, 8%  ,Morningside Heights ,Apartment,6,1
 Beautiful Apartment in Historic Brooklyn Townhouse ,$142/night, 67%  ,Prospect Park South ,Apartment,1,1
 Sunny family-friendly 1 bed. apt near Manhattan ,$87/night, 78%  ,Ozone Park ,Apartment,2,1
 Trendy 1 Bedroom Harlem Brownstone ,$154/night, 70%  ,Harlem ,Apartment,1,1
 One Bedroom with kids room / office ,$100/night, 73%  ,Fieldston ,Apartment,2,1
 Fab 1 Bedroom Apartment! ,$100/night, 100%  ,Port Morris ,Condominium,1,1
 Historic Upper West Side Townhouse 1 or 2 Bdrms ,$142/night, 82%  ,Hamilton Heights ,Guest suite,9,1
 Large Sunny 1BR - Entire 2nd Floor ,$140/night, 96%  ,Blissville ,Apartment,1,1
 Sunny & Spacious 1br Lower East Side Apartment ,$199/night, 74%  ,DUMBO ,Apartment,1,1
 Apartment in Manhattan ,$125/night, 48%  ,Carnegie Hill ,Apartment,2,1
 Manhattan Gem-Space & Convenience ,$193/night, 52%  ,High Bridge ,Townhouse,3,1
 Hudson COLUMBIA PRESBYTERIAN MED CTR * Studio Apt* ,$85/night, 35%  ,Washington Heights ,Apartment,N/A,1
 Lovely quiet furnished apartment-Hudson Heights ,$122/night, 14%  ,Morris Heights ,Apartment,2,1
 Comfy NYC Studio 15 Min. To Midtown ,$99/night, 84%  ,Harlem ,Apartment,2,1
 Fresh and modern 1BR in Bed-Stuy ,$98/night, 82%  ,Bushwick ,Apartment,1,1
 2 Bedroom 5 Minutes from JFK Airport 2nd Floor ,$197/night, 40%  ,Jamaica ,House,3,1
 Trendy East Village 1 Bedroom - NYC ,$191/night, 84%  ,NoHo ,Apartment,1,1
 Artsy Bsmnt Apt in Bklyn Brownstone ,$113/night, 52%  ,Wingate ,Apartment,1,1
 Your Stunning Vacation Apartment! ,$104/night, 91%  ,Harlem ,Apartment,2,1
 Beautiful Modern Studio in Bushwick ,$93/night, 92%  ,Bushwick ,Apartment,1,1
 Stylish Loft Apt in Brooklyn ,$185/night, 16%  ,Wingate ,Loft,1,1
" Bright 2 bedroom aparment, Bushwick ",$148/night, 61%  ,Bushwick ,Townhouse,2,1
 1 BDRM Apt-Weekend Sublease ,$117/night, 41%  ,Woodside ,Apartment,1,1
 Private studio apartment ,$86/night, 77%  ,Bushwick ,Townhouse,1,1
 North Williamsburg whole apt - Off the BEDFORD L ,$220/night, 59%  ,Greenpoint ,Apartment,1,1
 Oasis in old WorldBrooklyn ,$140/night, 100%  ,Bushwick ,Apartment,4,1
 Park Avenue Studio Suite ,$107/night, 55%  ,Sutton Place ,Apartment,2,1
 Extended Stay 3rd Floor Timeless Brooklyn Apt ,$125/night, 91%  ,Wingate ,Apartment,3,1
 A charming two bedroom/two baths ,$120/night, 97%  ,Wingate ,Apartment,2,2
 Luxurious SOHO 1 Bedroom ,$127/night, 58%  ,NoHo ,Apartment,1,1
 True NY Living- Times SQ  1 BR Apt ,$117/night, 52%  ,Tudor City ,Apartment,2,1
 Brand New Luxurious 1 BR - Outdoor Space ,$121/night, 62%  ,NoHo ,Apartment,1,1
 Newly Furnished 1BD Near Train! ,$112/night, 61%  ,Astoria Heights ,Apartment,2,1
 Modern Garden View Apartment ,$200/night, 100%  ,Navy Yard ,Apartment,1,1
 Cozy East Village Home ,$192/night, 80%  ,NoHo ,Apartment,2,1
 Luxurious 2 Bedroom ,$136/night, 67%  ,Carnegie Hill ,Apartment,2,1
 Midtown East 2 Bedroom 3 Beds ,$152/night, 48%  ,Hunters Point ,Apartment,3,1
 Luxurious SOHO Apartment ,$135/night, 52%  ,Greenwich Village ,Apartment,1,1
 Executive 1 BR - Elevator & Laundry ,$124/night, 51%  ,Hunters Point ,Apartment,1,1
 Mod Home Steps from Prospect Park ,$153/night, 71%  ,Flatbush ,Apartment,3,1
 Beautiful Harlem Private Garden Apartment ,$96/night, 94%  ,Harlem ,Apartment,2,1
 Cozy Studio Apt in Prospect Heights ,$90/night, 35%  ,Park Slope ,Townhouse,1,1
" Sunny, enormous apt, historic bldg ",$150/night, 58%  ,Port Morris ,Apartment,3,1
 Studio in Vibrant Lower East Side ,$120/night, 66%  ,NoHo ,Apartment,N/A,1
 BRIGHT Modern Spacious East Village Studio Apt ,$203/night, 57%  ,NoHo ,Apartment,2,1
 Luxury Apartment with Epic Views ,$257/night, 91%  ,Tudor City ,Apartment,1,1
 Luxury STUDIO * PVT Entrance * WOW ,$153/night, 88%  ,Carnegie Hill ,Apartment,1,1
 1 Bedroom with Outdoor Space ,$117/night, 85%  ,Hunters Point ,Apartment,1,1
 ROOM WITH A  KITCHENETTE ,$84/night, 63%  ,Clinton Hill ,House,N/A,1
 Spacious UES 1BR with outdoor deck ,$138/night, 65%  ,Sutton Place ,Apartment,2,1
 Luxury building studio in UWS ,$137/night, 78%  ,Upper West Side ,Apartment,1,1
 Modern Trendy Duplex Brooklyn Loft w/ Gym and Pool ,$191/night, N/A%  ,Ridgewood ,Loft,2,1
 Cute apt in artist's home ,$65/night, 82%  ,Bushwick ,Apartment,1,1
 Private East village Studio NO roommates Full bath ,$95/night, 89%  ,NoHo ,Apartment,1,1
 Hell's Kitchen Hideaway ,$134/night, 93%  ,Clinton ,Apartment,N/A,1
 Charming Brownstone Garden 1BR Historic Apartment ,$150/night, 95%  ,Harlem ,Apartment,3,1
" Small, Cozy 1BD Apartment ",$120/night, 73%  ,Harlem ,Apartment,1,1
 Spacious 1 BDRM near Central Park ,$181/night, 98%  ,Carnegie Hill ,Apartment,2,1
 XL Corporate 1 BR - Midtown East ,$128/night, 58%  ,Hunters Point ,Apartment,1,1
 Updated 1 BR - Best Location ,$114/night, 78%  ,Carnegie Hill ,Apartment,1,1
 Steps to Subway! Entire apt! 20 min to Manhattan! ,$133/night, 58%  ,Bushwick ,Apartment,4,1
" Conveniently Located, Sunny Brooklyn Heights! ",$156/night, 83%  ,Carroll Gardens ,Apartment,1,1
 5 min walk to Times Square! Sleeps 4! ,$183/night, 99%  ,Tudor City ,Apartment,2,1
